HCHO_Reading,Location,Current_Date,Next_Date,STATION,LATITUDE,LONGITUDE,ELEVATION,PRCP,TAVG,TMAX,TMIN
0.0002337061979083,Nuwara Eliya Proper,2019-03-24,2019-03-25,CE000434730,6.967,80.767,1880.0,0.0,64,73,45
0.0003577663287879,Colombo Proper,2019-03-25,2019-03-26,CEM00043466,6.9,79.867,7.0,0.0,84,90,79
5.820339193343703e-05,Nuwara Eliya Proper,2019-03-25,2019-03-26,CE000434730,6.967,80.767,1880.0,0.0,63,72,79
0.0002631266925609,Colombo Proper,2019-03-26,2019-03-27,CEM00043466,6.9,79.867,7.0,0.0,83,72,78
8.722993536189284e-05,Nuwara Eliya Proper,2019-03-26,2019-03-27,CE000434730,6.967,80.767,1880.0,0.0,63,99,53
0.0003646052956171,Colombo Proper,2019-03-27,2019-03-28,CEM00043466,6.9,79.867,7.0,0.0,84,91,78
9.746027246583777e-05,Nuwara Eliya Proper,2019-03-27,2019-03-28,CE000434730,6.967,80.767,1880.0,0.0,61,76,42
0.0003741742613115,Colombo Proper,2019-03-28,2019-03-29,CEM00043466,6.9,79.867,7.0,0.0,84,92,78
0.0001692817181159,Nuwara Eliya Proper,2019-03-28,2019-03-29,CE000434730,6.967,80.767,1880.0,,63,73,78
0.0002540006405394,Colombo Proper,2019-03-29,2019-03-30,CEM00043466,6.9,79.867,7.0,0.0,83,91,77
0.0001940701991971,Nuwara Eliya Proper,2019-03-29,2019-03-30,CE000434730,6.967,80.767,1880.0,0.0,62,74,52
0.0002202186895424,Colombo Proper,2019-03-30,2019-03-31,CEM00043466,6.9,79.867,7.0,0.0,84,74,78
0.000199954111486,Nuwara Eliya Proper,2019-03-30,2019-03-31,CE000434730,6.967,80.767,1880.0,0.0,61,101,78
0.0001155774606754,Colombo Proper,2019-03-31,2019-04-01,CEM00043466,6.9,79.867,7.0,0.0,85,90,78
0.0001030857769564,Nuwara Eliya Proper,2019-03-31,2019-04-01,CE000434730,6.967,80.767,1880.0,0.0,62,75,46
0.0001234932174866,Colombo Proper,2019-04-01,2019-04-02,CEM00043466,6.9,79.867,7.0,0.0,85,90,78
0.0001345494559591,Nuwara Eliya Proper,2019-04-01,2019-04-02,CE000434730,6.967,80.767,1880.0,0.0,63,75,49
0.0002688230247372,Colombo Proper,2019-04-02,2019-04-03,CEM00043466,6.9,79.867,7.0,0.0,85,90,78
0.000144982511753,Nuwara Eliya Proper,2019-04-02,2019-04-03,CE000434730,6.967,80.767,1880.0,0.0,62,75,78
0.000144982511753,Colombo Proper,2019-04-03,2019-04-04,CEM00043466,6.9,79.867,7.0,0.0,85,91,79
0.0001425276102801,Nuwara Eliya Proper,2019-04-03,2019-04-04,CE000434730,6.967,80.767,1880.0,0.0,61,74,46
